Internal,External,Total
30,22,52
39,32,71
40,30,70
47,42,89
41,38,79
50,37,87
38,35,73
39,28,67
40,23,63
44,28,72
40,24,64
40,37,77
39,27,66
41,36,77
42,32,74
37,23,60
38,32,70
39,37,76
40,26,66
40,38,78
40,20,60
43,21,64
42,35,77
42,36,78
40,27,67
40,33,73
38,21,59
41,28,69
47,31,78
44,24,68
43,26,69
39,12,51
42,36,78
45,22,67
45,30,75
48,33,81
39,19,58
42,25,67
43,30,73
44,30,74
40,26,66
38,29,67
38,34,72
42,31,73
47,37,84
41,30,71
36,22,58
43,28,71
40,21,61
42,36,78
47,29,76
47,31,78
29,25,54
44,28,72
40,28,68
47,28,75
39,30,69
46,31,77
42,28,70
41,39,80
41,30,71
